band,name,id,followers,spotifyName,topRank,ranks,dates,titles,imageUrl
Spice Girls,Mel B,2vJU4d2jRQb4zJJIQRkyDB,103420,Mel B,,,,,ab67616d00001e0211429634f4b8a4dba0d8bc1a
Spice Girls,Melanie C,60vX3zLcdKRXvKLITVh5Df,230667,Melanie C,,,,,97e17150a972d88c2b694272c8e025cc1341113e
Spice Girls,Emma Bunton,2AEEnr6Le5zHzBwpnlZSmq,132068,Emma Bunton,,,,,32e01d8a32b48751966882fbc2b0af69e7a81bad
Spice Girls,Geri Halliwell,5orH1OWgjAYUX8sZ5gihTv,130476,Geri Halliwell,,,,,1fa59149adf2b17db5bc6a2865a6d0328707df5c
Spice Girls,Victoria Beckham,54w1dJI7MTjkRGNfGuu2fc,75691,Victoria Beckham,,,,,ab67616d00001e02fbc98313ab1556a6ddd18a0e
Fifth Harmony,Ally Brooke,6TXM1kV4L8DsDAkAfbOPYk,370269,Ally Brooke,,,,,b8a2bb817044bcf03d4aa53cc2f10eb38a67d198
Fifth Harmony,Normani,2cWZOOzeOm4WmBJRnD5R7I,1104668,Normani,33,33,2019-08-31,Motivation,3ddad7b0f7281c2f8dc2ab8f1ee8607dbdb343f9
Fifth Harmony,Dinah Jane,59KQTERLpPa7M0F25fRH6V,317495,Dinah Jane,,,,,08767df1a56d736aa9be12d90eb4e649a10be3b9
Fifth Harmony,Lauren Jauregui,3J0BpFVUc9LeOIVeN5uNhU,916456,Lauren Jauregui,,,,,2a49c8c45483eb5f031e35fb8c98298784eeadb5
Fifth Harmony,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,20118733,Camila Cabello,1,1|6|12|47|51|52|60|81|94,2018-01-27|2018-05-12|2020-04-25|2017-06-10|2019-01-12|2019-11-02|2019-09-21|2017-08-26|2020-02-08,Havana|Never Be The Same|My Oh My|Crying In The Club|Consequences|Liar|Shameless|OMG|First Man,6628c8b4acfa56206eaf83edd561f0549f8f23df
BLACKPINK,Jisoo,,,,,,,,
BLACKPINK,Jennie,250b0Wlc5Vk0CoUsaCY84M,553927,JENNIE,,,,,85cd581d390f03938629d5fb393dae317a26e3e7
BLACKPINK,Rosé,,,,,,,,
BLACKPINK,Lisa,,,,,,,,
En Vogue,Terry Ellis,3VLPKOMqpsbmC1D2auAXR7,3433,Terry Ellis,52,52,1995-12-02,Where Ever You Are,3b74abe05ba1a4cd991cc432bc0eacf14fa40d06
En Vogue,Dawn Robinson,,,,,,,,
En Vogue,Cindy Herron,,,,,,,,
En Vogue,Maxine Jones,0Jpj08MNDRaBHWmEMaTPaq,218,Maxine Jones,,,,,1123e895ae6e2815506c3ea3ed92a1671592a476
The Pussycat Dolls,Nicole Scherzinger,40xbWSB4JPdOkRyuTDy1oP,1715566,Nicole Scherzinger,39,39|86,2011-07-30|2011-09-03,Right There|Don't Hold Your Breath,69bffe06f4894429e121263110374c8aefa37ba5
The Pussycat Dolls,Carmit Bachar,,,,,,,,
The Pussycat Dolls,Ashley Roberts,1NWnDQKWfNEhQr2WfLUN0C,3023,Ashley Roberts,,,,,ab67616d00001e0268955a32feea470add836e4f
The Pussycat Dolls,Jessica Sutta,6J2F6rTcNCJtktosxTxNw7,6223,Jessica Sutta,,,,,8edcec97949fa204b15ad59ac186c83af97e4888
The Pussycat Dolls,Melody Thornton,1EibrdGchIU1GIgiqJR25K,4762,Melody Thornton,,,,,1b6876c4265f0b4872df49c2497bb1f3bdb48ba8
The Pussycat Dolls,Kimberly Wyatt,,,,,,,,
The Bangles,Susanna Hoffs,2Sc4ukCRllIu02LZfHF0RL,10157,Susanna Hoffs,30,30|77,1991-03-23|1997-01-25,My Side Of The Bed|All I Want,7418d10db80f8e895df8d5d9575a957c974d5504
The Bangles,Debbi Peterson,,,,,,,,
The Bangles,Vicki Peterson,,,,,,,,
The Bangles,Annette Zilinskas,,,,,,,,
SWV,Cheryl Gamble,,,,,,,,
SWV,Tamara Johnson,,,,,,,,
SWV,Leanne Lyons,,,,,,,,
Dream,Holly Blake-Arnstein,,,,,,,,
Dream,Ashley Poole,6Yh8oFCSfowIzxck5ufLoM,92,Ashley Poole,,,,,ab67616d00001e02a15b8800979ac041df19b287
Dream,Melissa Schuman,4h9HZJgpdovm1dLD4XZvWZ,88,Melissa Schuman,,,,,ab67616d00001e02553ce0c9141e7e6100d63e81
Dream,Alex Chester,,,,,,,,
Dream,Kasey Sheridan,,,,,,,,
Dream,Diana Ortiz,2fvxk5Ain9z6gue62wgesH,20,Diana Ortiz,,,,,ab67616d00001e02bbb15ee59c4a26fbe0d0df30
702,Kameelah Williams,3H1tNI6IagzyOB8pNHVlJH,1313,Meelah,,,,,ab67616d00001e023422755af37a8ee162e1c1a9
702,Irish Grinstead,,,,,,,,
702,LeMisha Grinstead,,,,,,,,
Jade,Joi Marshall,68aeYdfah3LhfQex4IjVMF,50,Joi Marshall,,,,,d0d7b5623544c67d5a4203794fe0e1de909cc4a6
Jade,Angela Slates,,,,,,,,
Jade,Debra Mitchell,,,,,,,,
Jade,Di Reed,,,,,,,,
Jade,Myracle Holloway,7xgNxT1NJ8OnwxAxxsV3ly,265,Myracle Holloway,,,,,ab67616d00001e0231871410353163032ed81a1b
Blaque,Natina Reed,,,,,,,,
Blaque,Shamari Fears,,,,,,,,
Blaque,Brandi Williams,,,,,,,,
3LW,Adrienne Bailon,,,,,,,,
3LW,Kiely Williams,,,,,,,,
3LW,Naturi Naughton,,,,,,,,
3LW,Jessica Benson,,,,,,,,
Wilson Phillips,Carnie Wilson,3hzlY0sAcXGe3C7zZA48ri,212,Carnie Wilson,,,,,614ff58a44b0654a59a0055bf74beee9b99e1215
Wilson Phillips,Wendy Wilson,,,,,,,,
Wilson Phillips,Chynna Phillips,4G4wyL5fut6xdMUPZzDpyJ,765,Chynna Phillips,,,,,438b4b375c17699d7e111dbf789b105fa7645891
B*Witched,Edele Lynch,,,,,,,,
B*Witched,Sinéad O'Carroll,,,,,,,,
B*Witched,Lindsay Armaou,,,,,,,,
B*Witched,Keavy Lynch,,,,,,,,
Sweet Sensation,Betty LeBron,,,,,,,,
Sweet Sensation,Margie Fernandez,,,,,,,,
Sweet Sensation,Mari Fernandez,,,,,,,,
Sweet Sensation,Sheila Vega,,,,,,,,
Klymaxx,Bernadette Cooper,3xSCEwJ80mbqkJCo8hj7A9,81,Bernadette Cooper,,,,,ab67616d00001e027b284a55800fe06534885ad8
Klymaxx,Lorena Porter Shelby,,,,,,,,
Klymaxx,Cheryl Cooley,,,,,,,,
Klymaxx,Robbin Grider,,,,,,,,
Klymaxx,Lynn Malsby,,,,,,,,
Klymaxx,"Joyce ""Fenderella"" Irby",6EKHIeW7Q6rFM1jcLkHz33,217,Joyce Irby,70,70,1990-03-10,I'll Be There,ab67616d00001e02d9cf1f5a30c6ac21036fb647
Brownstone,"Monica ""Mimi"" Doby",,,,,,,,
Brownstone,"Charmayne Maxena ""Maxee"" Maxwell",,,,,,,,
Brownstone,"Nichole ""Nicci"" Gilbert",6SGcrRGQCscQdXQaIyOzPr,377,Nicci Gilbert,,,,,aa8549fa9e60bac88f693e1837bb18984de83cc5
Brownstone,Kina Cosper,,,,,,,,
Brownstone,Kymberli Wright,,,,,,,,
Brownstone,Racquel Roberts,,,,,,,,
Brownstone,Teisha Brown,,,,,,,,
Bananarama,Sara Dallin,,,,,,,,
Bananarama,Siobhan Fahey,5aauwKTCl2ZGRJUdpMMT4M,825,Siobhan Fahey,,,,,1dae33b14961cd8089981b1fc4c94d5639a2b0a3
Bananarama,Keren Woodward,,,,,,,,
Exposé,Jeanette Jurado,,,,,,,,
Exposé,Ann Curless,,,,,,,,
Exposé,Gioia Bruno,5OuNR2AQ0JzldodVp17vIc,104,Gioia Bruno,,,,,ab67616d00001e02a84d08cf4b49e983b40619ce
Exposé,Kelly Moneymaker,2x3et5mdOeNv2FCWWX5nHh,139,Kelly Moneymaker,,,,,b6c90fef62432268f22dec49b5b38f9f1914f6ad
Mary Jane Girls,"Joanne ""JoJo"" McDuffie",,,,,,,,
Mary Jane Girls,"Kimberly ""Maxi"" Wuletich",,,,,,,,
Mary Jane Girls,"Yvette ""Corvette"" Marine",,,,,,,,
Mary Jane Girls,"Cheryl Ann ""Cheri"" Bailey aka Cheri Wells",,,,,,,,
Mary Jane Girls,"Candice ""Candi"" Ghant",,,,,,,,
Xscape,Kandi Burruss,0ThrQemMA2B8xxusTUl8IM,118694,Kandi,24,24,2000-10-07,Don't Think I'm Not,24083cac1d32e9f22a683e8d281bc819a1dbc195
Xscape,"Tameka ""Tiny"" Cottle",,,,,,,,
Xscape,LaTocha Scott,,,,,,,,
Xscape,Tamera Coggins-Wynn,,,,,,,,
Xscape,Tamika Scott,1M8OKqAm4Xxjhqw9qhhO4u,757,Tamika Scott,,,,,ab67616d00001e02cdd7362cdf4d0a48cd745907
All Saints,Melanie Blatt,,,,,,,,
All Saints,Shaznay Lewis,4LUOGNccPSilRIm4Jcflg2,8064,Shaznay Lewis,,,,,1b9d98e2c5bb831f4a01eecd50608def8ac65316
All Saints,Simone Rainford,,,,,,,,
All Saints,Nicole Appleton,,,,,,,,
All Saints,Natalie Appleton,,,,,,,,
The Sugababes,Keisha Buchanan,,,,,,,,
The Sugababes,Mutya Buena,1g5PorBgjWrL60NdotRE6Q,25736,Mutya Buena,,,,,59140800b6389e4ffe771b00e54a983402a0df26
The Sugababes,Siobhán Donaghy,7edpqbQnGU6YySpab5ItAU,13485,Siobhan Donaghy,,,,,25d90f5069e30ba9094d93b5dfb2779f42d57b5b
The Sugababes,Heidi Range,,,,,,,,
The Sugababes,Jade Ewen,,,,,,,,
The Sugababes,Amelle Berrabah,,,,,,,,
Wonder Girls,Yeeun,3Mrp5B6JdfoiObgY0WR8lF,67903,HA:TFELT,,,,,8774f094276bdfa4c13c60b38d9ed4e65bd1dc01
Wonder Girls,Sunye,,,,,,,,
Wonder Girls,Sunmi,6MoXcK2GyGg7FIyxPU5yW6,2044252,SUNMI,,,,,dbed4c51255f28a9e0b292ac9c35a5ba3d7a1c1f
Wonder Girls,Hyuna,3UwlejyX2b458azZ7eCnHb,1235551,HyunA,,,,,3a750f175a55b342964b8b5a3dd6fbce2ccee495
Wonder Girls,Sohee,,,,,,,,
Wonder Girls,Yubin,3JUj7c2h5xkdOf0GJ07VWE,130818,Yubin,,,,,ab67616d00001e0273e866ef4532ee86549c498c
Wonder Girls,Hyerim,,,,,,,,
Danity Kane,Aubrey O'Day,6M0WvdiehFFWsxqxtBiVBF,17547,Aubrey O'Day,,,,,4ad08e32bdeda7127989305f12b4e944e66961c4
Danity Kane,Dawn Richard,6pSsE5y0uJMwYj83KrPyf9,72884,Dawn Richard,,,,,422a720f7753a2f245b7e1a65c6db2eaa5a5c553
Danity Kane,Shannon Bex,3NjuEy5p3qLBLfCbyNmESu,204,Shannon Bex,,,,,ab67616d00001e0263b2374a05dddf3e08866cd3
Danity Kane,"Wanita ""D. Woods"" Woodgett",1Qceau3EXQ0nVywCdY8smF,867,D. Woods,,,,,1ded88a35d0b6f4a59ec1f532f9b58a1d0e5bb8d
Danity Kane,Aundrea Fimbres,,,,,,,,
Total,Kima Raynor,,,,,,,,
Total,Keisha Spivey,,,,,,,,
Total,Pamela Long,5KntOyQOHjeWPEBkq43Etk,142,Pamela Long,,,,,ab67616d00001e028d70efe0bdfb38afd1e33371
Salt-n-Pepa,Salt,,,,,,,,
Salt-n-Pepa,Pepa,,,,,,,,
Salt-n-Pepa,DJ Spinderella,,,,,,,,
Divine,Kia Thornton,,,,,,,,
Divine,Nikki Bratcher,,,,,,,,
Divine,Tonia Tash,,,,,,,,
The Cover Girls,Angel Mercado (Sabater),,,,,,,,
The Cover Girls,Caroline Jackson,,,,,,,,
The Cover Girls,Sunshine Wright,,,,,,,,
The Cover Girls,Margo Urban,,,,,,,,
The Cover Girls,Evelyn Escalera,,,,,,,,
The Cover Girls,Sabrina Nieves,,,,,,,,
The Cover Girls,Lorraine Munoz,,,,,,,,
The Cover Girls,Michelle Valentine,,,,,,,,
